Quarter_ID,Xylo_Group,X_(mm),Y_(mm),Z_(mm),Width_(mm),Y2
1,1,20.79,36.04,44.43,4.89,36.04
1,1,42.13,64.74,30.05,4.28,64.74
1,1,40.77,163.05,54.23,7.06,163.05
1,1,56.49,186.26,65.98,8.16,153.74
1,1,53.08,231.25,67.38,6.03,108.75
1,1,17.59,245.25,46.27,6.71,94.75
1,1,47.93,249.75,69.48,5.54,90.25
1,1,18.83,272.1,12.87,3.16,67.9
1,1,34.67,273.86,67.51,8.16,66.14
1,1,20.82,274.8,25.51,3.73,65.2
1,1,45.91,280.01,55.47,4.06,59.99
1,1,22.36,282.93,72.77,8.53,57.07
1,1,44.35,283.04,75.33,4.94,56.96
1,1,5.21,284.84,35.32,5.29,55.16
1,1,30.46,284.97,60.34,5.89,55.03
1,1,46.14,286.03,39.95,3.78,53.97
1,1,32.18,291.28,54.91,7.16,48.72
1,1,15.4,293.17,36.11,3.88,46.83
1,1,12.03,302,40.68,5.57,38
1,1,24.01,302.16,57.12,6.33,37.84
1,1,20.27,303.03,40.12,5.18,36.97
1,1,37.57,307.9,84.1,4.22,32.1
1,1,11.78,309.46,40.31,3.78,30.54
1,1,19.39,314.84,47.89,4.13,25.16
1,1,8.66,315.39,38.62,2.6,24.61
1,1,11.79,316.66,37.69,3,23.34
1,1,14.87,317.12,27.39,3.61,22.88
1,1,12.8,319.31,40.42,2.71,20.69
1,1,21.94,320.92,47.91,4.88,19.08
1,1,28.04,323.11,38.58,2.28,16.89
1,2,8.85,5.01,47.29,2.5,5.01
1,2,3.07,39.99,17.63,1.86,39.99
1,2,7.32,88.06,12.22,2.32,88.06
1,2,55.97,129.32,55.19,1.86,129.32
1,2,55.05,139.09,49.27,2.69,139.09
1,2,55.97,142.66,52.94,2.31,142.66
1,2,55.03,146.16,57.62,2.31,146.16
1,2,53.82,150.84,73.5,2.28,150.84
1,2,25.81,152.86,28.34,2.14,152.86
1,2,57.29,159.87,58.9,1.64,159.87
1,2,58.6,196.23,65.64,2.26,143.77
1,2,42.2,313.82,55.37,3.4,26.18
1,2,21.83,323.74,59.11,4.87,16.26
1,3,10.54,15.05,43.73,2.67,15.05
1,3,23.96,19.09,35.54,2.83,19.09
1,3,15.76,68.48,31.13,4.5,68.48
1,3,2.51,81.4,11.55,3.02,81.4
1,3,18.1,82.76,25.85,4.27,82.76
1,3,50.75,91.09,42.75,1.97,91.09
1,3,6.19,91.33,30.15,5.28,91.33
1,3,32.51,147.08,39.48,5.26,147.08
1,3,17.84,148.11,31.51,2.81,148.11
1,3,47.51,148.88,69.15,3.2,148.88
1,3,14.27,154.95,32.63,4.42,154.95
1,3,9.67,192.88,28.35,3.86,147.12
1,3,3.77,224.57,20.91,3.66,115.43
1,3,45.07,226.76,63.61,6.01,113.24
1,3,52.54,244.08,57.46,2.85,95.92
1,3,33.31,264.83,44.86,5.24,75.17
1,3,18.57,268.98,28.15,5.21,71.02
1,3,12.9,289.72,35.84,5.95,50.28
1,3,37.01,302.57,40.45,5.01,37.43
1,3,51.11,308.73,66.52,2.55,31.27
1,3,40.99,314.21,58.95,4.56,25.79
1,3,46.96,325,81.48,5.56,15
1,3,4.95,327.53,19.31,1.45,12.47
1,1,37.19,24.19,72.52,4.1,24.19
1,1,57.97,38,64.33,4.86,38
