Unique_ID,ID,N.ind,species,log,type,density,d15N,d13C,percentN,percentC,C.N,richness,sampled
L-G-10-XYLO-1-1,XYLO-1-1,1,xylo-1,L-G-10,Pinus elliotti,soft,2.5,-22.1,11.3,41.3,3.7,6,4
L-G-10-XYLO-1-10,XYLO-1-10,1,xylo-1,L-G-10,Pinus elliotti,soft,1.6,-23.8,10.1,42.4,4.2,6,4
L-G-10-XYLO-1-11,XYLO-1-11,1,xylo-1,L-G-10,Pinus elliotti,soft,1.6,-22.5,13,46.2,3.6,6,4
L-G-10-XYLO-1-12,XYLO-1-12,1,xylo-1,L-G-10,Pinus elliotti,soft,3.1,-23.4,12.9,47.3,3.7,6,4
L-G-10-XYLO-1-13,XYLO-1-13,1,xylo-1,L-G-10,Pinus elliotti,soft,3.4,-23.6,12.8,46.3,3.6,6,4
L-G-10-XYLO-1-14,XYLO-1-14,1,xylo-1,L-G-10,Pinus elliotti,soft,0.8,-22.6,10.1,42,4.2,6,4
L-G-10-XYLO-1-15,XYLO-1-15,1,xylo-1,L-G-10,Pinus elliotti,soft,3,-24.4,10.5,43.5,4.1,6,4
L-G-10-XYLO-1-2,XYLO-1-2,1,xylo-1,L-G-10,Pinus elliotti,soft,2.5,-22.7,10.9,42.9,3.9,6,4
L-G-10-XYLO-1-3,XYLO-1-3,1,xylo-1,L-G-10,Pinus elliotti,soft,2,-22.9,11.8,42.5,3.6,6,4
L-G-10-XYLO-1-4,XYLO-1-4,1,xylo-1,L-G-10,Pinus elliotti,soft,1.9,-23,11.1,42.5,3.8,6,4
L-G-10-XYLO-1-5,XYLO-1-5,1,xylo-1,L-G-10,Pinus elliotti,soft,1.4,-22.1,12.8,45.5,3.6,6,4
L-G-10-XYLO-1-6,XYLO-1-6,1,xylo-1,L-G-10,Pinus elliotti,soft,3.1,-22.7,13,45.3,3.5,6,4
L-G-10-XYLO-1-7,XYLO-1-7,1,xylo-1,L-G-10,Pinus elliotti,soft,2,-22.5,9.5,39.2,4.1,6,4
L-G-10-XYLO-1-8,XYLO-1-8,1,xylo-1,L-G-10,Pinus elliotti,soft,2.5,-23,13,46.5,3.6,6,4
L-G-10-XYLO-1-9,XYLO-1-9,1,xylo-1,L-G-10,Pinus elliotti,soft,2.8,-22.6,13.3,47.6,3.6,6,4
