Species ID,Woodfall,Tag Color,Site,Biomass (mg),Individuals,Notes
Xylo-1,34,G,WF1,2222.74,20,UNM Stable Isotopes
Xylo-1,25,W,WF1,624.87,20,UNM Stable Isotopes
Xylo-2,31,G,WF1,424.01,20,UNM Stable Isotopes
Xylo-3,13,W,WF1,216.8,20,UNM Stable Isotopes
Xylo-3,31,G,WF1,417.54,20,UNM Stable Isotopes
Xylo-1,34,G,WF1,2727.88,20,UNM Stable Isotopes
Xylo-1,21,W,WF1,1395.88,20,UNM Stable Isotopes
Xylo-10,22,G,WF1,1107.01,20,UNM Stable Isotopes
Xylo-11,31,G,WF1,181.31,20,UNM Stable Isotopes
Xylo-11,34,W,WF1,90.43,20,UNM Stable Isotopes
Xylo-12,1,G,WF1,6.33,20,UNM Stable Isotopes
Xylo-12,31,G,WF1,554.15,20,UNM Stable Isotopes
Xylo-16,10,W,WF1,17.12,20,UNM Stable Isotopes
Xylo-1,34,G,WF1,354.7,3,Rouse-Genetics
Xylo-1,28,W,WF1,157.3,3,Rouse-Genetics
Xylo-2,31,G,WF1,107.3,3,Rouse-Genetics
Xylo-3,34,W,WF1,96,3,Rouse-Genetics
Xylo-3,16,G,WF1,145,3,Rouse-Genetics
Xylo-1,31,W,WF1,802.9,3,Rouse-Genetics
Xylo-1,21,G,WF1,661.8,3,Rouse-Genetics
Xylo-5,19,G,WF1,0.5,1,Rouse-Genetics
Xylo-5,34,G,WF1,2.4,1,Rouse-Genetics
Xylo-5,22,G,WF2,0.5,1,Rouse-Genetics
Xylo-7,31,G,WF1,0.4,1,Rouse-Genetics
Xylo-7,26,G,WF1,0.7,1,Rouse-Genetics
Xylo-10,16,G,WF1,190.9,3,Rouse-Genetics
Xylo-10,7,W,WF1,249.8,3,Rouse-Genetics
Xylo-11,31,G,WF1,92.4,3,Rouse-Genetics
Xylo-11,34,W,WF1,21.4,3,Rouse-Genetics
Xylo-12,13,G,WF1,32.7,1,Rouse-Genetics
Xylo-12,1,G,WF1,89,2,Rouse-Genetics
Xylo-12,34,W,WF1,4.8,1,Rouse-Genetics
Xyo-12,21,W,WF1,15.9,1,Rouse-Genetics
Xylo-12,4,W,WF1,0.6,1,Rouse-Genetics
Xylo-13,31,G,WF1,1656.3,2,Rouse-Genetics
Xylo-15,25,G,WF1,455,3,Rouse-Genetics
Xylo-16,10,W,WF1,10.4,3,Rouse-Genetics
